sorting,graph,tree,partition,basic_knowledge,loop_and_branch,simulate,weakness
0.89,0.88,0.92,0.46,0.82,0.45,0.66,partition;loop_and_branch
0.61,0.88,0.83,0.74,0.47,0.98,0.92,basic_knowledge
0.48,0.52,0.66,0.96,0.52,0.58,0.71,sorting;graph;basic_knowledge;loop_and_branch
0.55,0.69,0.58,0.61,0.88,0.88,0.77,sorting;tree
0.47,0.86,0.81,0.57,0.84,0.89,0.75,sorting;partition
0.75,0.75,0.9,0.44,0.85,0.51,0.72,partition;loop_and_branch
0.97,0.79,0.71,0.65,0.99,0.92,0.62,
0.91,0.66,0.5,0.48,0.7,0.85,0.64,tree;partition
0.84,0.93,0.93,0.9,0.47,0.95,0.94,basic_knowledge
0.76,0.77,0.73,0.49,0.8,0.53,0.79,partition;loop_and_branch
0.67,0.93,0.44,0.61,0.95,0.78,0.55,tree;simulate
0.51,0.44,0.82,0.96,0.96,0.8,0.83,sorting;graph
0.97,0.7,0.92,0.5,0.59,0.9,0.67,partition;basic_knowledge
0.58,0.67,0.96,0.65,0.72,0.91,0.83,sorting
0.76,0.88,0.65,0.8,0.91,0.95,0.44,simulate
0.71,0.55,0.57,0.47,0.78,0.63,0.71,graph;tree;partition
0.97,0.84,0.79,0.44,0.51,0.83,0.96,partition;basic_knowledge
0.94,0.66,0.93,0.44,0.45,0.57,0.54,partition;basic_knowledge;loop_and_branch;simulate
0.75,0.74,0.51,0.47,0.62,0.9,0.84,tree;partition
0.51,0.79,0.91,0.97,0.72,0.98,0.83,sorting
0.78,0.65,0.88,0.65,0.71,0.81,0.86,
0.44,0.88,0.86,0.86,0.67,0.6,0.97,sorting
0.47,0.83,0.67,0.49,0.56,0.72,0.62,sorting;partition;basic_knowledge
0.68,0.79,0.6,0.74,0.84,0.86,0.66,
0.97,0.51,0.45,0.97,0.79,0.97,0.48,graph;tree;simulate
0.89,0.87,0.59,0.61,0.74,0.96,0.63,tree
0.95,0.54,0.71,0.98,0.8,0.82,0.87,graph
0.47,0.58,0.51,0.75,0.56,0.97,0.83,sorting;graph;tree;basic_knowledge
0.57,0.96,0.61,0.62,0.94,0.79,0.94,sorting
0.52,0.95,0.8,0.6,0.64,0.62,0.96,sorting
0.96,0.74,0.69,0.96,0.47,0.54,0.78,basic_knowledge;loop_and_branch
0.86,0.54,0.81,0.89,0.83,0.65,0.52,graph;simulate
0.72,0.61,0.63,0.75,0.73,0.98,0.68,
0.49,0.93,0.7,0.63,0.77,0.95,0.62,sorting
0.63,0.69,0.82,0.44,0.81,0.85,0.78,partition
0.95,0.83,0.62,0.91,0.98,0.57,0.44,loop_and_branch;simulate
0.71,0.68,0.69,0.89,0.71,0.7,0.46,simulate
0.64,0.88,0.72,0.86,0.53,0.48,0.81,basic_knowledge;loop_and_branch
0.8,0.55,0.54,0.54,0.82,0.76,0.82,graph;tree;partition
0.7,0.52,0.79,0.57,0.53,0.71,0.76,graph;partition;basic_knowledge
0.75,0.53,0.58,0.72,0.58,0.7,0.76,graph;tree;basic_knowledge
0.77,0.59,0.98,0.6,0.94,0.66,0.97,graph
0.49,0.43,0.88,0.9,0.86,0.75,0.94,sorting;graph
0.72,0.98,0.59,0.83,0.78,0.56,0.91,tree;loop_and_branch
0.55,0.91,0.88,0.88,0.66,0.83,0.56,sorting;simulate
0.88,0.93,0.58,0.85,0.65,0.88,0.94,tree
0.74,0.65,0.71,0.61,0.73,0.51,0.96,loop_and_branch
0.84,0.49,0.77,0.46,0.91,0.67,0.77,graph;partition
0.84,0.72,0.85,0.58,0.94,0.92,0.66,partition
0.81,0.64,0.69,0.5,0.47,0.47,0.43,partition;basic_knowledge;loop_and_branch;simulate
0.95,0.83,0.78,0.52,0.46,0.69,0.97,partition;basic_knowledge
0.53,0.76,0.87,0.73,0.47,0.49,0.95,sorting;basic_knowledge;loop_and_branch
0.77,0.9,0.69,0.82,0.61,0.82,0.69,
0.8,0.85,0.52,0.54,0.58,0.7,0.76,tree;partition;basic_knowledge
0.92,0.44,0.51,0.95,0.85,0.48,0.74,graph;tree;loop_and_branch
0.72,0.83,0.88,0.7,0.62,0.67,0.58,simulate
0.85,0.64,0.89,0.82,0.61,0.96,0.69,
0.52,0.84,0.47,0.59,0.9,0.47,0.84,sorting;tree;partition;loop_and_branch
0.43,0.92,0.52,0.56,0.53,0.55,0.64,sorting;tree;partition;basic_knowledge;loop_and_branch
0.92,0.85,0.93,0.57,0.67,0.74,0.97,partition
0.96,0.58,0.6,0.52,0.86,0.76,0.85,graph;partition
0.86,0.87,0.61,0.88,0.47,0.69,0.95,basic_knowledge
0.55,0.53,0.69,0.5,0.64,0.86,0.78,sorting;graph;partition
0.69,0.82,0.88,0.93,0.54,0.47,0.67,basic_knowledge;loop_and_branch
0.65,0.46,0.57,0.78,0.77,0.67,0.48,graph;tree;simulate
0.94,0.71,0.87,0.86,0.88,0.84,0.74,
0.46,0.6,0.83,0.9,0.46,0.49,0.7,sorting;basic_knowledge;loop_and_branch
0.7,0.53,0.76,0.84,0.78,0.59,0.63,graph;loop_and_branch
0.65,0.86,0.7,0.88,0.83,0.76,0.72,
0.72,0.54,0.79,0.79,0.64,0.89,0.45,graph;simulate
0.55,0.92,0.8,0.55,0.84,0.81,0.81,sorting;partition
0.46,0.97,0.57,0.67,0.76,0.87,0.85,sorting;tree
0.51,0.67,0.59,0.57,0.46,0.48,0.85,sorting;tree;partition;basic_knowledge;loop_and_branch
0.6,0.64,0.96,0.83,0.65,0.64,0.53,simulate
0.69,0.85,0.54,0.7,0.74,0.46,0.98,tree;loop_and_branch
0.67,0.9,0.7,0.8,0.82,0.45,0.53,loop_and_branch;simulate
0.87,0.93,0.71,0.6,0.47,0.96,0.89,basic_knowledge
